c;market;v;isin
Ablynx NV;XBRU;ABLXS; 
ABO-Group Environment NV;XBRU;ABO; 
Accentis SA;XBRU;ACCB; 
Ackermans & Van Haaren NV;XBRU;ACKB; 
Aedifica SA;XBRU;AED; 
Ageas SA/ NV;XBRU;AGS; 
Agfa-Gevaert NV;XBRU;AGFB; 
Anheuser-Busch InBev SA/NV;XBRU;ABI; 
Antares Cert;XBRU;ANT; 
argenx SE;XBRU;ARGX; 
Ascencio;XBRU;ASCE; 
Atenor SA;XBRU;ATEB; 
Azelis Group NV;XBRU;AZE; 
Banimmo SA;XBRU;BANI; 
Banque Nationale de Belgique SA;XBRU;BNB; 
Barco NV;XBRU;BAR; 
Basilix/Immo-Basilix;XBRU;BAS; 
Befimmo SA;XBRU;BEFB; 
Belreca NV;XBRU;BELR; 
Beluga NV;XBRU;BELU; 
Belysse Group NV;XBRU;BELYS; 
Biocartis Group NV;XBRU;BCART; 
Biosenic;XBRU;BIOS; 
Biotalys NV;XBRU;BTLS; 
Boeing Co;XBRU;BOEI; 
Bpost SA de Droit Public;XBRU;BPOST; 
Brederode SA;XBRU;BREB; 
Campine NV;XBRU;CAMB; 
Care Property Invest SA;XBRU;CPINV; 
Celyad Oncology;XBRU;CYAD; 
Cenergy Holdings SA;XBRU;CENER; 
CFE SA;XBRU;CFEB; 
Chevron Corp;XBRU;CHTEX; 
Choice NV;XBRU;MLTV; 
Cisco Systems Inc;XBRU;CIS; 
Cofinimmo SA/NV;XBRU;COFB; 
Compagnie du Bois Sauvage SA;XBRU;COMB; 
Compagnie Financiere de Neufcour SA;XBRU;MLNEU; 
Crescent NV;XBRU;OPTI; 
Cumulex NV;XBRU;CLEX; 
D'Ieteren Group;XBRU;DIE; 
Deceuninck NV;XBRU;DECB; 
Deme Group NV;XBRU;DEME; 
Distri-Land/Le Certificat Foncier;XBRU;DISL; 
DMS Imaging SA;XBRU;DMSIM; 
Econocom Group SA/NV;XBRU;ECONB; 
Ekopak NV;XBRU;EKOP; 
Elia Group;XBRU;ELI; 
Etablissementen Franz Colruyt NV;XBRU;COLR; 
Euronav NV;XBRU;EURN; 
EVS Broadcast Equipment SA;XBRU;EVS; 
Exmar NV;XBRU;EXM; 
Fagron SA;XBRU;FAGR; 
Financiere de Tubize SA;XBRU;TUB; 
Floridienne SA;XBRU;FLOB; 
FLOWSPARKS;XBRU;FLSP; 
Fluxys Belgium SA;XBRU;FLUX; 
Fountain SA;XBRU;FOU; 
GIMV NV;XBRU;GIMB; 
