c;market;v;sector;group;industry
1&1 AG;XETR;1U1;Communication Services;Telecommunication Services;Telecom Services
11 88 0 Solutions AG;XETR;TGT;Communication Services;Telecommunication Services;Telecom Services
2G Energy AG;XETR;2GB;Industrials;Industrial Products;Specialty Industrial Machinery
2invest AG;XETR;2INV;Financial Services;Asset Management;Asset Management
3D Systems Corp;XETR;SYV;Technology;Hardware;Computer Hardware
3M Co;XETR;MMM;Industrials;Conglomerates;Conglomerates
3U Holding AG;XETR;UUU;Industrials;Construction;Building Products & Equipment
468 SPAC II SE;XETR;SPV2;Financial Services;Diversified Financial Services;Shell Companies
4basebio PLC;XETR;88Q;Healthcare;Biotechnology;Biotechnology
4SC AG;XETR;VSC;Healthcare;Biotechnology;Biotechnology
7C Solarparken AG;XETR;HRPK;Technology;Semiconductors;Solar
aap Implantate AG;XETR;AAQ1;Healthcare;Medical Devices & Instruments;Medical Devices
Aareal Bank AG;XETR;ARL;Financial Services;Banks;Banks - Regional
Abbott Laboratories;XETR;ABL;Healthcare;Medical Devices & Instruments;Medical Devices
AbbVie Inc;XETR;4AB;Healthcare;Drug Manufacturers;Drug Manufacturers - General
ABO Wind AG;XETR;AB9;Industrials;Construction;Engineering & Construction
ABOUT YOU Holding SE;XETR;YOU;Consumer Cyclical;Retail - Cyclical;Internet Retail
Accent Group Ltd;XETR;RJD;Consumer Cyclical;Retail - Cyclical;Apparel Retail
Accentro Real Estate AG;XETR;A4Y;Real Estate;Real Estate;Real Estate Services
Activision Blizzard Inc;XETR;AIY;Communication Services;Interactive Media;Electronic Gaming & Multimedia
ad pepper media International NV;XETR;APM;Communication Services;Media - Diversified;Advertising Agencies
Adesso SE;XETR;ADN1;Technology;Software;Information Technology Services
adidas AG;XETR;ADS;Consumer Cyclical;Manufacturing - Apparel & Accessories;Footwear & Accessories
Adler Group SA;XETR;ADJ;Real Estate;Real Estate;Real Estate Services
Adler Real Estate AG;XETR;ADL;Real Estate;Real Estate;Real Estate Services
Adobe Inc;XETR;ADB;Technology;Software;Software - Infrastructure
Adtran Inc;XETR;QH9;Technology;Hardware;Communication Equipment
ADVA Optical Networking SE;XETR;ADV;Technology;Hardware;Communication Equipment
Advanced Blockchain AG;XETR;BWQ;Technology;Software;Software - Application
Advanced Micro Devices Inc;XETR;AMD;Technology;Semiconductors;Semiconductors
Aifinyo AG;XETR;EBE;Financial Services;Credit Services;Credit Services
Air Products & Chemicals Inc;XETR;AP3;Basic Materials;Chemicals;Specialty Chemicals
Airbnb Inc;XETR;6Z1;Consumer Cyclical;Travel & Leisure;Travel Services
Aixtron SE;XETR;AIXA;Technology;Semiconductors;Semiconductor Equipment & Materials
Albemarle Corp;XETR;AMC;Basic Materials;Chemicals;Specialty Chemicals
Alcoa Corp;XETR;185;Basic Materials;Metals & Mining;Aluminum
Alibaba Group Holding Ltd;XETR;AHLA;Consumer Cyclical;Retail - Cyclical;Internet Retail
Align Technology Inc;XETR;AFW;Healthcare;Medical Devices & Instruments;Medical Devices
All for One Group SE;XETR;A1OS;Technology;Software;Information Technology Services
Allgeier SE;XETR;AEIN;Technology;Software;Information Technology Services
Allianz SE;XETR;ALV;Financial Services;Insurance;Insurance - Diversified
Ally Financial Inc;XETR;GMZ;Financial Services;Credit Services;Credit Services
Alphabet Inc;XETR;ABEA;Communication Services;Interactive Media;Internet Content & Information
alstria office REIT-AG;XETR;AOX;Real Estate;REITs;REIT - Office
Alteryx Inc;XETR;3AI;Technology;Software;Software - Application
