c;market;v;isin
A. P. Moller Maersk A/S;XCSE;MAERSK B; 
Aalborg Boldspilklub A/S;XCSE;AAB; 
Agat Ejendomme A/S;XCSE;AGAT; 
AGF A/S;XCSE;AGF B; 
Agillic A/S;XCSE;AGILC; 
Alefarm Brewing A/S;XCSE;ALEFRM; 
Alk-Abello A/S;XCSE;ALK B; 
Alm Brand A/S;XCSE;ALMB; 
Ambu A/S;XCSE;AMBU B; 
Andersen & Martini Holding A/S;XCSE;AM B; 
Aquaporin A/S;XCSE;AQP; 
Astralis A/S;XCSE;ASTRLS; 
Atlantic Petroleum P/F;XCSE;ATLA DKK; 
BactiQuant A/S;XCSE;BACTIQ; 
Bang & Olufsen A/S;XCSE;BO; 
BankNordik P/F;XCSE;BNORDIK CSE; 
Bavarian Nordic A/S;XCSE;BAVA; 
Bioporto A/S;XCSE;BIOPOR; 
Boliga Gruppen A/S;XCSE;BOLIGA; 
Brain+ AS;XCSE;BRAINP; 
Brd. Klee A/S;XCSE;KLEE B; 
Brodrene A & O Johansen A/S;XCSE;AOJ B; 
Broedrene Hartmann A/S;XCSE;HART; 
Brondbyernes I.F.Fodbold A/S;XCSE;BIF; 
Carlsberg A/S;XCSE;CARL B; 
cBrain A/S;XCSE;CBRAIN; 
Cemat A/S;XCSE;CEMAT; 
ChemoMetec A/S;XCSE;CHEMM; 
Chr. Hansen Holding A/S;XCSE;CHR; 
Coloplast A/S;XCSE;COLO B; 
Columbus A/S;XCSE;COLUM; 
Conferize A/S;XCSE;CONFRZ; 
Copenhagen Airports A/S;XCSE;KBHL; 
Copenhagen Capital A/S;XCSE;CPHCAP ST; 
Copyright Agent AS;XCSE;COPY; 
Dampskibsselskabet NORDEN A/S;XCSE;DNORD; 
Danish Aerospace Co A/S;XCSE;DAC; 
Danske Andelskassers Bank A/S;XCSE;DAB; 
Danske Bank A/S;XCSE;DANSKE; 
Dantax A/S;XCSE;DANT; 
Dataproces Group A/S;XCSE;DATA; 
DecideAct A/S;XCSE;ACT; 
Demant A/S;XCSE;DEMANT; 
Den Jyske Sparekasse AS;XCSE;DJS; 
DFDS A/S;XCSE;DFDS; 
Digizuite A/S;XCSE;DIGIZ; 
Djurslands Bank A/S;XCSE;DJUR; 
DonkeyRepublic Holding A/S;XCSE;DONKEY; 
DSV AS;XCSE;DSV; 
EAC Invest A/S;XCSE;EAC; 
EgnsINVEST Ejd Tyskland A/S;XCSE;EGNETY; 
Enalyzer A/S;XCSE;ENALYZ; 
Ennogie Solar Group AS;XCSE;ESG; 
Erria A/S;XCSE;ERRIA; 
eSoft Systems A/S;XCSE;ESOFT; 
F.E. Bording A/S;XCSE;BORD B; 
Fast Ejendom Danmark A/S;XCSE;FED; 
FastPassCorp A/S;XCSE;FASTPC; 
FirstFarms A/S;XCSE;FFARMS; 
FLSmidth & Co. A/S;XCSE;FLS; 
Flugger Group AS;XCSE;FLUG B; 
FOM Technologies A/S;XCSE;FOM; 
Fynske Bank A/S;XCSE;FYNBK; 
G4S PLC;XCSE;G4S; 
Gabriel Holding A/S;XCSE;GABR; 
Genmab A/S;XCSE;GMAB; 
German High Street Properties A/S;XCSE;GERHSP; 
Glunz & Jensen Holding A/S;XCSE;GJ; 
GN Store Nord A/S;XCSE;GN; 
Green Hydrogen Systems A/S;XCSE;GREENH; 
Green Impact Ventures A/S;XCSE;GIV; 
GreenMobility A/S;XCSE;GREENM; 
Gronlandsbanken A/S;XCSE;GRLA; 
Gyldendal A/S;XCSE;GYLD B; 
H+H International A/S;XCSE;HH; 
H. Lundbeck AS;XCSE;HLUN A; 
Happy Helper A/S;XCSE;HAPPY; 
Harboes Bryggeri A/S;XCSE;HARB B; 
Hometown A/S;XCSE;TOWN; 
Hove A/S;XCSE;HOVE; 
HRC World PLC;XCSE;HRC; 
HusCompagniet A/S;XCSE;HUSCO; 
Hvidbjerg Bank A/S;XCSE;HVID; 
Hydract A/S;XCSE;HYDRCT; 
Hypefactors A/S;XCSE;HYPE; 
Impero A/S;XCSE;IMPERO; 
InterMail A/S;XCSE;IMAIL; 
ISS A/S;XCSE;ISS; 
Jeudan A/S;XCSE;JDAN; 
Jobindex A/S;XCSE;JOBNDX; 
Jutlander Bank A/S;XCSE;JUTBK; 
Jyske Bank A/S;XCSE;JYSK; 
Konsolidator A/S;XCSE;KONSOL; 
Kreditbanken A/S;XCSE;KRE; 
Laan & Spar Bank A/S;XCSE;LASP; 
LED iBond International A/S;XCSE;LEDIBOND; 
Lollands Bank A/S;XCSE;LOLB; 
Luxor A/S;XCSE;LUXOR B; 
MapsPeople A/S;XCSE;MAPS; 
Matas A/S;XCSE;MATAS; 
Mdundo.Com A/S;XCSE;MDUNDO; 
Mons Bank A/S;XCSE;MNBA; 
Monsenso A/S;XCSE;MONSO; 
Movinn AS;XCSE;MOVINN; 
MT Hojgaard Holding A/S;XCSE;MTHH; 
Netcompany Group A/S;XCSE;NETC; 
Newcap Holding A/S;XCSE;NEWCAP; 
Nexcom A/S;XCSE;NEXCOM; 
Nilfisk Holding A/S;XCSE;NLFSK; 
NKT A/S;XCSE;NKT; 
NNIT A/S;XCSE;NNIT; 
Noble Corp PLC;XCSE;NOBLE; 
NORD.investments Fondsmaeglerselskab A/S;XCSE;NORD; 
Nordfyns Bank A/S;XCSE;NRDF; 
Nordic Shipholding A/S;XCSE;NORDIC; 
North Media A/S;XCSE;NORTHM; 
Novo Nordisk A/S;XCSE;NOVO B; 
Novozymes A/S;XCSE;NZYM B; 
NTG Nordic Transport Group A/S;XCSE;NTG; 
NTR Holding A/S;XCSE;NTR B; 
Odico A/S;XCSE;ODICO; 
OrderYOYO A/S;XCSE;YOYO; 
Orphazyme AS;XCSE;ORPHA; 
Orsted A/S;XCSE;ORSTED; 
Ossur hf;XCSE;OSSR; 
Pandora A/S;XCSE;PNDORA; 
Park Street A/S;XCSE;PARKST A; 
PARKEN Sport & Entertainment A/S;XCSE;PARKEN; 
Penneo A/S;XCSE;PENNEO; 
Per Aarsleff Holding A/S;XCSE;PAAL B; 
Pharma Equity Group A/S;XCSE;PEG A; 
Prime Office A/S;XCSE;PRIMOF; 
Q-Interline AS;XCSE;QINTER; 
Re-Match Holding A/S;XCSE;RMATCH; 
Relesys AS;XCSE;RELE; 
Rias A/S;XCSE;RIAS B; 
Ringkjoebing Landbobank A/S;XCSE;RILBA; 
RISMA Systems A/S;XCSE;RISMA; 
Roblon A/S;XCSE;RBLN B; 
Rockwool AS;XCSE;ROCK A; 
Rovsing A/S;XCSE;ROV; 
Royal UNIBREW A/S;XCSE;RBREW; 
RTX A/S;XCSE;RTX; 
Salling Bank A/S;XCSE;SALB; 
SameSystem A/S;XCSE;SAME; 
Sanistal A/S;XCSE;SANI; 
Scandinavian Brake Systems A/S;XCSE;SBS; 
Scandinavian Investment Group Ltd;XCSE;SIG; 
Scandinavian Medical Solutions AS;XCSE;SMSMED; 
Scandinavian Tobacco Group A/S;XCSE;STG; 
Scape Technologies A/S;XCSE;SCAPE; 
Schouw & Co A/S;XCSE;SCHO; 
Seluxit A/S;XCSE;SLXIT; 
Shape Robotics A/S;XCSE;SHAPE; 
Silkeborg IF Invest A/S;XCSE;SIF; 
SimCorp A/S;XCSE;SIM; 
SKAKO A/S;XCSE;SKAKO; 
Skjern Bank A/S;XCSE;SKJE; 
Solar A/S;XCSE;SOLAR B; 
SP Group A/S;XCSE;SPG; 
Spar Nord Bank A/S;XCSE;SPNO; 
Sparekassen Sjaelland-Fyn A/S;XCSE;SPKSJF; 
Spenn Technology A/S;XCSE;SPENN; 
Stenocare A/S;XCSE;STENO; 
Strategic Investments A/S;XCSE;STRINV; 
Svejsemaskinefabrikken Migatronic A/S;XCSE;MIGA B; 
Swiss Properties Invest A/S;XCSE;SWISS; 
Sydbank A/S;XCSE;SYDB; 
TCM Group A/S;XCSE;TCM; 
Tivoli A/S;XCSE;TIV; 
Topdanmark A/S;XCSE;TOP; 
TORM PLC;XCSE;TRMD A; 
Totalbanken A/S;XCSE;TOTA; 
Trifork Holding AG;XCSE;TRIFOR; 
Trophy Games Development A/S;XCSE;TGAMES; 
Tryg A/S;XCSE;TRYG; 
UIE PLC;XCSE;UIE; 
Valuer Holding A/S;XCSE;VALUER; 
Vestas Wind Systems A/S;XCSE;VWS; 
Vestjysk Bank A/S;XCSE;VJBA; 
ViroGates A/S;XCSE;VIRO; 
WindowMaster International A/S;XCSE;WMA; 
Wirtek A/S;XCSE;WIRTEK; 
Zealand Pharma A/S;XCSE;ZEAL; 
