c;v;market;group;industry
Abengoa SA;ABG;XMAD;Construction;Engineering & Construction
Acciona SA;ANA;XMAD;Construction;Engineering & Construction
Acerinox SA;ACX;XMAD;Steel;Steel
ACS Actividades de Construccion y Servicios SA;ACS;XMAD;Construction;Engineering & Construction
Adolfo Dominguez SA;ADZ;XMAD;Manufacturing - Apparel & Accessories;Apparel Manufacturing
Adriano Care Socimi SA;YADR;XMAD;REITs;REIT - Healthcare Facilities
Advero Properties Socimi;YADV;XMAD;REITs;REIT - Residential
Aedas Homes SAU;AEDAS;XMAD;Homebuilding & Construction;Residential Construction
Aena SME SA;AENA;XMAD;Transportation;Airports & Air Services
Aeternal Mentis SA;AMEN;XMAD;Software;Software - Infrastructure
Agile Content SA;AGIL;XMAD;Software;Software - Infrastructure
Airtificial Intelligence Structures SA;AI;XMAD;Industrial Products;Specialty Industrial Machinery
Akiles Corp SE;AKI;XMAD;Conglomerates;Conglomerates
Alantra Partners SA;ALNT;XMAD;Capital Markets;Capital Markets
Albirana Properties Socimi SA;YAPS;XMAD;REITs;REIT - Diversified
Alfa SAB de CV;XALFA;XMAD;Conglomerates;Conglomerates
All Iron Re I Socimi SA;YAI1;XMAD;REITs;REIT - Diversified
Almirall SA;ALM;XMAD;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Alquiber Quality SA;ALQ;XMAD;Business Services;Rental & Leasing Services
Altia Consultores SA;ALC;XMAD;Software;Information Technology Services
Am Locales Property SA;YAML;XMAD;REITs;REIT - Specialty
Amadeus IT Group SA;AMS;XMAD;Travel & Leisure;Travel Services
Amper SA;AMP;XMAD;Software;Information Technology Services
AP67 Socimi SA;YAP67;XMAD;REITs;REIT - Diversified
Aplicaciones Y Tratamiento De Sistemas SA;ATSI;XMAD;Software;Information Technology Services
Applus Services SA;APPS;XMAD;Business Services;Specialty Business Services
Arima Real Estate Socimi SA;ARM;XMAD;REITs;REIT - Office
Arrienda Rental Properties Socimi SA;YARP;XMAD;REITs;REIT - Diversified
Arteche Lantegi Elekartea SA;ART;XMAD;Hardware;Electronic Components
Asturiana de Laminados SA;ELZ;XMAD;Industrial Products;Metal Fabrication
Atom Hoteles Socimi SA;YATO;XMAD;REITs;REIT - Hotel & Motel
Atresmedia Corporacion de Medios de Comunicacion SA;A3M;XMAD;Media - Diversified;Entertainment
Atrys Health SA;ATRY;XMAD;Biotechnology;Biotechnology
Audax Renovables SA;ADX;XMAD;Utilities - Independent Power Producers;Utilities - Renewable
Axon Partners Group SA;APG;XMAD;Business Services;Consulting Services
Azaria Rental Socimi SA;YAZR;XMAD;REITs;REIT - Diversified
Azkoyen SA;AZK;XMAD;Industrial Products;Business Equipment & Supplies
Banco BBVA Argentina SA;XBFR;XMAD;Banks;Banks - Regional
Banco Bilbao Vizcaya Argentaria SA;BBVA;XMAD;Banks;Banks - Diversified
Banco de Sabadell SA;SAB;XMAD;Banks;Banks - Diversified
Banco Santander Rio SA;XBRSB;XMAD;Banks;Banks - Regional
Banco Santander SA;SAN;XMAD;Banks;Banks - Diversified
Bankia SA;BKIA;XMAD;Banks;Banks - Regional
Bankinter SA;BKT;XMAD;Banks;Banks - Regional
Barcino Property Socimi SA;YBAR;XMAD;REITs;REIT - Residential
Baron de Ley SA;BDL;XMAD;Beverages - Alcoholic;Beverages - Wineries & Distilleries
Berkeley Energia Ltd;BKY;XMAD;Other Energy Sources;Uranium
Biotechnology Assets SA;BST;XMAD;Biotechnology;Biotechnology
Bodegas Riojanas SA;RIO;XMAD;Beverages - Alcoholic;Beverages - Wineries & Distilleries
Bolsas Y Mercados Espanoles SHMSF SA;BME;XMAD;Capital Markets;Financial Data & Stock Exchanges
Borges Agricultural & Industrial Nuts SA;BAIN;XMAD;Consumer Packaged Goods;Farm Products
Bradespar SA;XBRPP;XMAD;Asset Management;Asset Management
Braskem SA;XBRK;XMAD;Chemicals;Chemicals
CaixaBank SA;CABK;XMAD;Banks;Banks - Regional
Castellana Properties Socimi SA;YCPS;XMAD;REITs;REIT - Retail
Catenon SA;COM;XMAD;Business Services;Staffing & Employment Services
Cellnex Telecom SA;CLNX;XMAD;Real Estate;Real Estate Services
CIE Automotive SA;CIE;XMAD;Vehicles & Parts;Auto Parts
CLERHP Estructuras SA;CLR;XMAD;Construction;Engineering & Construction
Clever Global SA;CLE;XMAD;Business Services;Specialty Business Services
Clinica Baviera SA;CBAV;XMAD;Medical Diagnostics & Research;Diagnostics & Research
Club De Futbol Intercity SAD;CITY;XMAD;Media - Diversified;Entertainment
Codere SA;CDR;XMAD;Travel & Leisure;Gambling
Commcenter SA;CMM;XMAD;Telecommunication Services;Telecom Services
Compania de Distribucion Integral Logista Holdings SA;LOG;XMAD;Transportation;Integrated Freight & Logistics
Compania Espanola de Viviendas en Alquiler SA;CEV;XMAD;Real Estate;Real Estate - Development
Construcciones y Auxiliar de Ferrocarriles SA;CAF;XMAD;Transportation;Railroads
Corona Patrimonial Socimi SA;YCOR;XMAD;REITs;REIT - Office
Corpfin Capital Prime Retail II SA;PR2;XMAD;REITs;REIT - Diversified
Corpfin Capital Prime Retail III SA;PR3;XMAD;REITs;REIT - Diversified
Corporacion Acciona Energias Renovables SA;ANE;XMAD;Utilities - Independent Power Producers;Utilities - Renewable
Corporacion Financiera Alba SA;ALB;XMAD;Asset Management;Asset Management
Deoleo SA;OLE;XMAD;Consumer Packaged Goods;Packaged Foods
Desarrollos Ermita Del Santo Socimi SA;YDES;XMAD;REITs;REIT - Office
Desarrollos Especiales de Sistemas de Anclaje;DESA;XMAD;Industrial Products;Tools & Accessories
Distribuidora Internacional De Alimentacion SA;DIA;XMAD;Retail - Defensive;Discount Stores
Domo Activos SA;DOMO;XMAD;REITs;REIT - Residential
Duro Felguera SA;MDF;XMAD;Construction;Engineering & Construction
Ebro Foods SA;EBRO;XMAD;Consumer Packaged Goods;Packaged Foods
Ecoener SA;ENER;XMAD;Utilities - Independent Power Producers;Utilities - Renewable
Edreams Odigeo SA;EDR;XMAD;Travel & Leisure;Travel Services
Elaia Investment Spain Socimi SA;YEIS;XMAD;REITs;REIT - Hotel & Motel
Elecnor SA;ENO;XMAD;Construction;Infrastructure Operations
Elix Vintage Residencial Socimi SA;YVRS;XMAD;REITs;REIT - Residential
Enagas SA;ENG;XMAD;Utilities - Regulated;Utilities - Regulated Gas
ENCE Energia y Celulosa SA;ENC;XMAD;Forest Products;Paper & Paper Products
Endesa SA;ELE;XMAD;Utilities - Regulated;Utilities - Regulated Electric
Endurance Motive SA;END;XMAD;Industrial Products;Electrical Equipment & Parts
Energia Innovacion Y Desarrollo Fotovoltaicos A;EIDF;XMAD;Semiconductors;Solar
Energy Solar Tech SA;ETC;XMAD;Utilities - Independent Power Producers;Utilities - Renewable
Enerside Energy SA;ENRS;XMAD;Construction;Engineering & Construction
Entrecampos Cuatro Socimi SA;YENT;XMAD;REITs;REIT - Diversified
Ercros SA;ECR;XMAD;Chemicals;Chemicals
Euripo Properties Socimi SA;YEPS;XMAD;REITs;REIT - Diversified
Euroespes SA;EEP;XMAD;Medical Diagnostics & Research;Diagnostics & Research
Euskaltel SA;EKT;XMAD;Telecommunication Services;Telecom Services
Excem Capital Partners Sociedad De Inversion Residencial Socimi SA;YEXR;XMAD;REITs;REIT - Residential
Facephi Biometria SA;FACE;XMAD;Software;Software - Application
Faes Farma SA;FAE;XMAD;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Ferrovial SE;FER;XMAD;Construction;Infrastructure Operations
Fidere Patrimonio Socimi SA;YFID;XMAD;REITs;REIT - Residential
Fluidra SA;FDR;XMAD;Industrial Products;Specialty Industrial Machinery
Fomento de Construcciones y Contratas SA;FCC;XMAD;Waste Management;Waste Management
Galil Capital Re Spain Socimi SA;YGCS;XMAD;REITs;REIT - Residential
Gavari Properties Socimi SA;YGAV;XMAD;REITs;REIT - Residential
General de Alquiler de Maquinaria SA;GAM;XMAD;Business Services;Rental & Leasing Services
General De Galerias Comerciales Socimi SA;GGC;XMAD;REITs;REIT - Retail
Gestamp Automocion;GEST;XMAD;Vehicles & Parts;Auto Parts
Gigas Hosting SA;GIGA;XMAD;Software;Software - Infrastructure
Global Dominion Access SA;DOM;XMAD;Software;Information Technology Services
Gmp Property SOCIMI SA;YGMP;XMAD;REITs;REIT - Diversified
GOP Properties Socimi SA;YGOP;XMAD;REITs;REIT - Diversified
Gore Spain Holdings Socimi SA;YGRE;XMAD;REITs;REIT - Diversified
Greenalia SA;GRN;XMAD;Conglomerates;Conglomerates
Greenoak Spain Holdings Socimi II SA;YGO2;XMAD;REITs;REIT - Diversified
Grenergy Renovables SA;GRE;XMAD;Industrial Products;Specialty Industrial Machinery
Grifols SA;GRF;XMAD;Drug Manufacturers;Drug Manufacturers - General
Grino Ecologic;GRI;XMAD;Waste Management;Waste Management
Grupo Catalana Occidente SA;GCO;XMAD;Insurance;Insurance - Diversified
Grupo Elektra SAB de CV;XEKT;XMAD;Diversified Financial Services;Financial Conglomerates
Grupo Empresarial San Jose SA;GSJ;XMAD;Construction;Engineering & Construction
Grupo Ezentis SA;EZE;XMAD;Construction;Engineering & Construction
Grupo Greening 2022 SA;GGR;XMAD;Business Services;Specialty Business Services
Hadley Investments SOCIMI SA;YHLY;XMAD;REITs;REIT - Diversified
Hannun SA;HAN;XMAD;Furnishings Fixtures & Appliances;Furnishings Fixtures & Appliances
Hispanotels Inversiones Socimi SA;YHSP;XMAD;REITs;REIT - Diversified
Holaluz-Clidom SA;HLZ;XMAD;Utilities - Independent Power Producers;Utilities - Renewable
Home Capital Rentals Socimi SA;YHCR;XMAD;REITs;REIT - Residential
Iberdrola SA;IBE;XMAD;Utilities - Regulated;Utilities - Diversified
Iberpapel Gestion SA;IBG;XMAD;Forest Products;Paper & Paper Products
IBI Lion Socimi SA;YIBI;XMAD;REITs;REIT - Diversified
IFFE Futura SA;IFF;XMAD;Conglomerates;Conglomerates
Imaginarium SA;IMG;XMAD;Retail - Cyclical;Specialty Retail
Inbest Prime I Inmuebles Socimi SA;YINB1;XMAD;REITs;REIT - Diversified
Inbest Prime II Inmuebles Socimi SA;YINB2;XMAD;REITs;REIT - Retail
Inbest Prime III Inmuebles Socimi SA;YINB3;XMAD;REITs;REIT - Retail
Inbest Prime IV Inmuebles Socimi SA;YINB4;XMAD;REITs;REIT - Retail
Inbest Prime VI Inmuebles Socimi SA;YINB6;XMAD;REITs;REIT - Diversified
Inbest Prime VIII Inmuebles Socimi SA;YINB8;XMAD;REITs;REIT - Diversified
Inbest Vii Inmueblessocimi SA;YINB7;XMAD;REITs;REIT - Diversified
Inclam SA;INC;XMAD;Construction;Engineering & Construction
Indexa Capital Group SA;INDXA;XMAD;Asset Management;Asset Management
Indra Sistemas SA;IDR;XMAD;Software;Information Technology Services
Industria De Diseno Textil SA;ITX;XMAD;Retail - Cyclical;Apparel Retail
Inhome Prime Properties Socimi SA;YIPP;XMAD;REITs;REIT - Residential
Inmobiliaria Colonial SOCIMI SA;COL;XMAD;REITs;REIT - Office
Inmobiliaria del Sur SA;ISUR;XMAD;Real Estate;Real Estate Services
Inmobiliaria Park Rose Iberoamericana Socimi SA;YPARK;XMAD;REITs;REIT - Diversified
Inmofam 99 SOCIMI SA;YINM;XMAD;REITs;REIT - Diversified
Innovative Solutions Ecosystem SA;ISE;XMAD;Business Services;Specialty Business Services
International Consolidated Airlines Group SA;IAG;XMAD;Transportation;Airlines
Inversa Prime Socimi SA;YIPS;XMAD;REITs;REIT - Residential
ISC Freshwater Investment Socimi SA;YISC;XMAD;REITs;REIT - Diversified
Izertis SA;IZER;XMAD;Software;Information Technology Services
Jaba I Inversiones Inmobiliarias Socimi SA;YABA;XMAD;REITs;REIT - Diversified
Labiana Health SA;LAB;XMAD;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Laboratorio Reig Jofre SA;RJF;XMAD;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Laboratorios Farmaceuticos Rovi SA;ROVI;XMAD;Biotechnology;Biotechnology
Lafinca Global Assets Socimi SA;YLFG;XMAD;REITs;REIT - Diversified
Lar Espana Real Estate Socimi SA;LRE;XMAD;REITs;REIT - Diversified
Libertas 7 SA;LIB;XMAD;Real Estate;Real Estate Services
Linea Directa Aseguradora SA;LDA;XMAD;Insurance;Insurance - Property & Casualty
Lingotes Especiales SA;LGT;XMAD;Vehicles & Parts;Auto Parts
Lleidanetworks Serveis Telematics SA;LLN;XMAD;Telecommunication Services;Telecom Services
Llorente Y Cuenca SA;LLYC;XMAD;Business Services;Consulting Services
Making Science Group SA;MAKS;XMAD;Media - Diversified;Advertising Agencies
Mansfield Invest Socimi SA;YMAN;XMAD;REITs;REIT - Office
Mapfre SA;MAP;XMAD;Insurance;Insurance - Diversified
Masmovil Ibercom SA;MAS;XMAD;Telecommunication Services;Telecom Services
Matritense Real Estate Socimi SA;YMAT;XMAD;REITs;REIT - Residential
Medcom Tech SA;MED;XMAD;Medical Distribution;Medical Distribution
Media Investment Optimization SA;MIO;XMAD;Media - Diversified;Advertising Agencies
Melia Hotels International SA;MEL;XMAD;Travel & Leisure;Lodging
Mercal Inmuebles Socimi SA;YMEI;XMAD;REITs;REIT - Diversified
Meridia Real Estate III Socimi SA;YMRE;XMAD;REITs;REIT - Diversified
Merlin Properties SOCIMI SA;MRL;XMAD;REITs;REIT - Diversified
Metrovacesa SA;MVC;XMAD;Homebuilding & Construction;Residential Construction
Millenium Hospitality Real Estate Socimi SA;YMHRE;XMAD;REITs;REIT - Hotel & Motel
Miquel y Costas & Miquel SA;MCM;XMAD;Forest Products;Paper & Paper Products
Mistral Iberia Real Estate Socimi SA;YMIB;XMAD;REITs;REIT - Diversified
Mistral Patrimonio Inmobiliario Socimi SA;YMPI;XMAD;REITs;REIT - Residential
Mondo TV Studios SA;MONI;XMAD;Media - Diversified;Entertainment
Montebalito SA;MTB;XMAD;Real Estate;Real Estate Services
Naturgy Energy Group SA;NTGY;XMAD;Utilities - Regulated;Utilities - Regulated Gas
Naturhouse Health SA;NTH;XMAD;Consumer Packaged Goods;Packaged Foods
NBI Bearings Europe SA;NBI;XMAD;Industrial Products;Tools & Accessories
Neinor Homes SA;HOME;XMAD;Homebuilding & Construction;Residential Construction
Neoenergia SA;XNEO;XMAD;Utilities - Regulated;Utilities - Regulated Electric
Netex Knowledge Factory SA;NTX;XMAD;Software;Software - Application
Nextpoint Capital Socimi SA;YNPC;XMAD;REITs;REIT - Diversified
NH Hotel Group SA;NHH;XMAD;Travel & Leisure;Lodging
Nicolas Correa SA;NEA;XMAD;Industrial Products;Specialty Industrial Machinery
Nueva Expresion Textil SA;NXT;XMAD;Manufacturing - Apparel & Accessories;Textile Manufacturing
Numulae Gestion De Servicios SOCIMI SA;YNUM;XMAD;REITs;REIT - Diversified
Nyesa Valores Corp SA;NYE;XMAD;Real Estate;Real Estate - Development
Obrascon Huarte Lain SA;OHLA;XMAD;Construction;Engineering & Construction
Olimpo Real Estate SOCIMI SA;YORE;XMAD;REITs;REIT - Retail
Opdenergy Holding SA;OPDE;XMAD;Utilities - Independent Power Producers;Utilities - Renewable
Optimum III Value-Added Residential SOCIMI SA;YOVA;XMAD;REITs;REIT - Residential
Optimum Re Spain SOCIMI SA;YORS;XMAD;REITs;REIT - Diversified
Oryzon Genomics SA;ORY;XMAD;Biotechnology;Biotechnology
P3 Spain Logistic Parks Socimi SA;YP3L;XMAD;REITs;REIT - Industrial
Pangaea Oncology SA;PANG;XMAD;Medical Diagnostics & Research;Diagnostics & Research
Parlem Telecom Companyia De Telecomunicacions SA;PAR;XMAD;Telecommunication Services;Telecom Services
Persepolis Investments 1 Socimi SA;YPER;XMAD;REITs;REIT - Residential
Pescanova SA;PVA;XMAD;Consumer Packaged Goods;Farm Products
Pharma Mar SA;PHM;XMAD;Biotechnology;Biotechnology
Prevision Sanitaria Nacional Gestion Socimi SA;YPSN;XMAD;REITs;REIT - Specialty
Prim SA;PRM;XMAD;Medical Devices & Instruments;Medical Instruments & Supplies
Proeduca Altus SA;PRO;XMAD;Education;Education & Training Services
Profithol SA;SPH;XMAD;Semiconductors;Solar
Promotora de Informaciones SA;PRS;XMAD;Media - Diversified;Publishing
Prosegur Cash SA;CASH;XMAD;Transportation;Integrated Freight & Logistics
Prosegur Compania De Seguridad SA;PSG;XMAD;Business Services;Security & Protection Services
Quonia SOCIMI SA;YQUO;XMAD;REITs;REIT - Diversified
Realia Business SA;RLIA;XMAD;Real Estate;Real Estate Services
Redeia Corporacion SA;RED;XMAD;Utilities - Regulated;Utilities - Regulated Electric
Renta 4 Banco SA;R4;XMAD;Asset Management;Asset Management
Renta Corporacion Real Estate SA;REN;XMAD;Real Estate;Real Estate Services
Repsol SA;REP;XMAD;Oil & Gas;Oil & Gas Integrated
Robot SA;RBT;XMAD;Construction;Building Products & Equipment
RREF II Al Breck SOCIMI SAU;YALB;XMAD;REITs;REIT - Residential
Sacyr SA;SCYR;XMAD;Construction;Engineering & Construction
Secuoya Grupo De Comunicacion Sa;SEC;XMAD;Media - Diversified;Entertainment
Serrano 61 Desarrollo Socimi SA;YSRR;XMAD;REITs;REIT - Retail
Silicius Real Estate Socimi SA;YSIL;XMAD;REITs;REIT - Diversified
Singular People SA;SNG;XMAD;Software;Software - Application
Solaria Energia y Medio Ambiente SA;SLR;XMAD;Utilities - Independent Power Producers;Utilities - Renewable
