c;market;v;isin
Aallon Group Oyj;XHEL;AALLON; 
Admicom Oyj;XHEL;ADMCM; 
Administer PLC;XHEL;ADMIN; 
Afarak Group SE;XHEL;AFAGR; 
Ahlstrom-Munksjo Oyj;XHEL;AM1; 
Aiforia Technologies PLC;XHEL;AIFORIA; 
Aktia Bank PLC;XHEL;AKTIA; 
Alandsbanken ABP;XHEL;ALBAV; 
Alexandria Pankkiiriliike Oyj;XHEL;ALEX; 
Alma Media Oyj;XHEL;ALMA; 
Anora Group Plc;XHEL;ANORA; 
Apetit Oyj;XHEL;APETIT; 
Aspo PLC;XHEL;ASPO; 
Aspocomp Group PLC;XHEL;ACG1V; 
Asuntosalkku PLC;XHEL;ASUNTO; 
Atria Oyj;XHEL;ATRAV; 
Avidly Oyj;XHEL;AVIDLY; 
Basware Oyj;XHEL;BAS1V; 
BBS-Bioactive Bone Substitutes PLC;XHEL;BONEH; 
Betolar Oyj;XHEL;BETOLAR; 
Biohit Oyj;XHEL;BIOBV; 
Bioretec Ltd;XHEL;BRETEC; 
Bittium Corp;XHEL;BITTI; 
Boreo Oyj;XHEL;BOREO; 
CapMan Oyj;XHEL;CAPMAN; 
Cargotec Oyj;XHEL;CGCBV; 
Caverion Oyj;XHEL;CAV1V; 
Citycon Oyj;XHEL;CTY1S; 
Componenta Oyj;XHEL;CTH1V; 
Consti PLC;XHEL;CONSTI; 
Detection Technology PLC;XHEL;DETEC; 
Digia Oyj;XHEL;DIGIA; 
Digital Workforce Services PLC;XHEL;DWF; 
Digitalist Group Oyj;XHEL;DIGIGR; 
Dovre Group Oyj;XHEL;DOV1V; 
Duell Corp;XHEL;DUELL; 
Eagle Filters Group PLC;XHEL;EAGLE; 
EcoUp Oyj;XHEL;ECOUP; 
Eezy PLC;XHEL;EEZY; 
Efecte PLC;XHEL;EFECTE; 
Elecster Oyj;XHEL;ELEAV; 
Elisa Oyj;XHEL;ELISA; 
Endomines Finland Oyj;XHEL;PAMPALO; 
Enedo PLC;XHEL;ENEDO; 
Enento Group PLC;XHEL;ENENTO; 
Enersense International PLC;XHEL;ESENSE; 
eQ PLC;XHEL;EQV1V; 
Etteplan Oyj;XHEL;ETTE; 
Evli PLC;XHEL;EVLI; 
Exel Composites Oyj;XHEL;EXL1V; 
F-Secure Corp;XHEL;FSECURE; 
Faron Pharmaceuticals Oy;XHEL;FARON; 
Fellow Bank PLC;XHEL;FELLOW; 
FIFAX PLC;XHEL;FIFAX; 
Finnair Oyj;XHEL;FIA1S; 
Fiskars Oyj;XHEL;FSKRS; 
FIT Biotech Oy;XHEL;FITBIO; 
Fodelia Oyj;XHEL;FODELIA; 
Fondia Oyj;XHEL;FONDIA; 
Fortum Oyj;XHEL;FORTUM; 
Glaston Oyj;XHEL;GLA1V; 
Gofore PLC;XHEL;GOFORE; 
Harvia PLC;XHEL;HARVIA; 
Heeros PLC;XHEL;HEEROS; 
Herantis Pharma PLC;XHEL;HRTIS; 
HKScan Oyj;XHEL;HKSAV; 
Honkarakenne Oyj;XHEL;HONBS; 
Huhtamaki Oyj;XHEL;HUH1V; 
Ilkka Oyj;XHEL;ILKKA2; 
Incap Oyj;XHEL;ICP1V; 
Inderes Oyj;XHEL;INDERES; 
Innofactor Oyj;XHEL;IFA1V; 
Investors House Oyj;XHEL;INVEST; 
Kamux Corp;XHEL;KAMUX; 
Kemira Oyj;XHEL;KEMIRA; 
Kempower Corp;XHEL;KEMPOWR; 
Keskisuomalainen Oyj;XHEL;KSLAV; 
Kesko Oyj;XHEL;KESKOA; 
Kesla Oyj;XHEL;KELAS; 
Kojamo Oyj;XHEL;KOJAMO; 
KONE Oyj;XHEL;KNEBV; 
Konecranes Oyj;XHEL;KCR; 
Koskisen Corp;XHEL;KOSKI; 
Kreate Group PLC;XHEL;KREATE; 
Lamor Corp Oyj;XHEL;LAMOR; 
LapWall Oyj;XHEL;LAPWALL; 
Lassila & Tikanoja Oyj;XHEL;LAT1V; 
LeadDesk Oyj;XHEL;LEADD; 
Lehto Group Oyj;XHEL;LEHTO; 
Lemonsoft Oyj;XHEL;LEMON; 
Lifa Air PLC;XHEL;LIFA; 
Lifeline SPAC I PLC;XHEL;LL1SPAC; 
Loihde PLC;XHEL;LOIHDE; 
Marimekko Oyj;XHEL;MEKKO; 
Martela Oyj;XHEL;MARAS; 
Merus Power Oyj;XHEL;MERUS; 
Metsa Board Oyj;XHEL;METSA; 
Metso Outotec Corp;XHEL;MOCORP; 
Modulight Corp;XHEL;MODU; 
Musti Group PLC;XHEL;MUSTI; 
Nanoform Finland PLC;XHEL;NANOFH; 
Neste Corp;XHEL;NESTE; 
Netum Group Oyj;XHEL;NETUM; 
Nexstim Oyj;XHEL;NXTMH; 
Nightingale Health PLC;XHEL;HEALTH; 
Nixu Oyj;XHEL;NIXU; 
NoHo Partners Oyj;XHEL;NOHO; 
Nokia Oyj;XHEL;NOKIA; 
Nokian Tyres PLC;XHEL;TYRES; 
Nordic Lights Group Corp;XHEL;NORDLIG; 
Norrhydro Group Oyj;XHEL;NORRH; 
Nurminen Logistics Oyj;XHEL;NLG1V; 
NYAB Plc;XHEL;NYAB; 
Olvi Oyj;XHEL;OLVAS; 
