c;market;v;isin
4AIM SICAF SpA;XMIL;4AIM; 
A.b.p. Nocivelli SpA;XMIL;ABP; 
A.S. Roma SpA;XMIL;ASR; 
A2A SpA;XMIL;A2A; 
Abc Co SPA;XMIL;ABC; 
Abitare In SpA;XMIL;ABT; 
ACEA SpA;XMIL;ACE; 
Acinque SpA;XMIL;AC5; 
Acquazzurra SpA;XMIL;ACQ; 
Aedes SIIQ SpA;XMIL;AED; 
Aeffe SpA;XMIL;AEF; 
Aeroporto Guglielmo Marconi di Bologna SpA;XMIL;ADB; 
Agatos SpA;XMIL;AGA; 
ALA SpA;XMIL;ALA; 
Alerion CleanPower;XMIL;ARN; 
Alfio Bardolla Training Group SpA;XMIL;ABTG; 
Alfonsino SpA;XMIL;ALF; 
Alkemy SpA;XMIL;ALK; 
Allcore spa;XMIL;STG; 
Almawave SpA;XMIL;AIW; 
Altea Green Power SPA;XMIL;AGP; 
Ambromobiliare SpA;XMIL;AMB; 
AMM SPA;XMIL;AMM; 
Amplifon SpA;XMIL;AMP; 
Anima Holding SpA;XMIL;ANIM; 
Antares Vision SpA;XMIL;AV; 
Aquafil SpA;XMIL;ECNL; 
Ariston Holding NV;XMIL;ARIS; 
Arnoldo Mondadori Editore SpA;XMIL;MN; 
Arterra Bioscience SpA;XMIL;ABS; 
Ascopiave SpA;XMIL;ASC; 
Assicurazioni Generali;XMIL;G; 
Assiteca SpA;XMIL;ASSI; 
Astaldi SpA;XMIL;AST; 
ASTM SpA;XMIL;AT; 
Atlantic 1 - Fondo Comune di Investimento Immobiliare Chiuso;XMIL;QFATL; 
Aton Green Storage SpA;XMIL;ATON; 
Autogrill SpA;XMIL;AGL; 
Autostrade Meridionali;XMIL;AUTME; 
Avio SpA;XMIL;AVIO; 
Azimut Holding SPA;XMIL;AZM; 
B&C Speakers SpA;XMIL;BEC; 
B.F. SpA;XMIL;BFG; 
Banca Finnat;XMIL;BFE; 
Banca Generali;XMIL;BGN; 
Banca Ifis;XMIL;IF; 
Banca Intermobiliare di Investimenti e Gestioni SPA BIM;XMIL;BIM; 
Banca Mediolanum;XMIL;BMED; 
Banca Monte dei Paschi di Siena;XMIL;BMPS; 
Banca Popolare di Sondrio SpA;XMIL;BPSO; 
Banca Profilo SPA;XMIL;PRO; 
Banca Sistema SpA;XMIL;BST; 
Banco BPM SpA;XMIL;BAMI; 
Banco Di Desio E Della Brianza SpA;XMIL;BDB; 
Banco di Sardegna SpA;XMIL;BSRP; 
BasicNet SpA;XMIL;BAN; 
Bastogi SPA;XMIL;B; 
Be Shaping the Future SpA;XMIL;BEST; 
Beewize spa;XMIL;BWZ; 
Beghelli;XMIL;BE; 
Bellini Nautica SpA;XMIL;BELL; 
BFC Media SpA;XMIL;BFC; 
BFF Bank SpA;XMIL;BFF; 
Bialetti Industrie SpA;XMIL;BIA; 
Biancamano SpA;XMIL;BCM; 
Biesse SpA;XMIL;BSS; 
Bifire SpA;XMIL;FIRE; 
Bioera SpA;XMIL;BIE; 
Borgosesia SpA;XMIL;BO; 
BPER Banca SpA;XMIL;BPE; 
Brembo SpA;XMIL;BRE; 
Brioschi;XMIL;BRI; 
Brunello Cucinelli SpA;XMIL;BC; 
Buzzi Unicem SpA;XMIL;BZU; 
Cairo Communication SpA;XMIL;CAI; 
Caleffi SpA;XMIL;CLF; 
Caleido Group SpA;XMIL;CLG; 
Caltagirone Editore SpA;XMIL;CED; 
Caltagirone SpA;XMIL;CALT; 
Capital For Progress Single Investment SpA;XMIL;CFP; 
Carel Industries SpA;XMIL;CRL; 
Carraro SpA;XMIL;CARR; 
Casasold SPA;XMIL;CASA; 
Casta Diva Group SpA;XMIL;CDG; 
Cellularline SpA;XMIL;CELL; 
Cembre SpA;XMIL;CMB; 
Cementir Holding NV;XMIL;CEM; 
