c;market;v;isin
Aalberts NV;XAMS;AALB; 
ABN AMRO Bank NV;XAMS;ABN; 
Accell Group NV;XAMS;ACCEL; 
Accsys Technologies PLC;XAMS;AXS; 
Acomo NV;XAMS;ACOMO; 
Advanced Metallurgical Group NV;XAMS;AMG; 
Adyen NV;XAMS;ADYEN; 
Aegon NV;XAMS;AGN; 
AFC Ajax NV;XAMS;AJAX; 
Akzo Nobel NV;XAMS;AKZA; 
Alfen NV;XAMS;ALFEN; 
Allfunds Group PLC;XAMS;ALLFG; 
Almunda Professionals N.V;XAMS;AMUND; 
Altice Europe NV;XAMS;ATCT; 
Alumexx NV;XAMS;ALX; 
AP Alternative Assets LP;XAMS;AAA; 
Arcadis NV;XAMS;ARCAD; 
ArcelorMittal SA;XAMS;MT; 
ASM International NV;XAMS;ASM; 
ASML Holding NV;XAMS;ASML; 
ASR Nederland NV;XAMS;ASRNL; 
Atrium European Real Estate Ltd;XAMS;ATRS; 
Avantium NV;XAMS;AVTX; 
Azerion Group NV;XAMS;AZRN; 
B&S Group SA;XAMS;BSGR; 
Basic-Fit NV;XAMS;BFIT; 
BE Semiconductor Industries NV;XAMS;BESI; 
Benevolent AI;XAMS;BAI; 
Beter Bed Holding;XAMS;BBED; 
Bever Holding;XAMS;BEVER; 
Brigade-M3 European Acquisition Corp;XAMS;BACE; 
Brunel International NV;XAMS;BRNL; 
Cabka NV;XAMS;CABKA; 
Climate Transition Capital Acquisition I BV;XAMS;CTCA1; 
CM.com;XAMS;CMCOM; 
Coca-Cola Europacific Partners PLC;XAMS;CCEP; 
Corbion NV;XAMS;CRBN; 
Crystal Peak Acquisition;XAMS;CPA1; 
Ctac NV;XAMS;CTAC; 
CTP NV;XAMS;CTPNV; 
DGB Group NV;XAMS;DGB; 
Disruptive Capital Acquisition Co Ltd;XAMS;DCACS; 
DPA Group NV;XAMS;DPA; 
Ease2pay NV;XAMS;EAS2P; 
Ebusco Holding NV;XAMS;EBUS; 
Energy Transition Partners BV;XAMS;ENTPA; 
Envipco Holding NV;XAMS;ENVI; 
Epic Acquisition Corp;XAMS;EPIC; 
ESG Core Investments BV;XAMS;ESG; 
Eurocastle Investment Ltd;XAMS;ECT; 
Eurocommercial Properties NV;XAMS;ECMPA; 
European Healthcare Acquisition Growth Co BV;XAMS;EHCS; 
EXOR NV;XAMS;EXO; 
Fastned BV;XAMS;FAST; 
FL Entertainment NV;XAMS;FLE; 
Flow Traders Ltd;XAMS;FLOW; 
ForFarmers NV;XAMS;FFARM; 
Fugro NV;XAMS;FUR; 
Galapagos NV;XAMS;GLPG; 
GeoJunxion NV;XAMS;GOJXN; 
GP Bullhound Acquisition I SE;XAMS;BHND; 
HAL Trust;XAMS;HAL; 
Hedosophia European Growth;XAMS;HEGA; 
Heijmans NV;XAMS;HEIJM; 
Heineken Holding NV;XAMS;HEIO; 
Heineken NV;XAMS;HEIA; 
Holland Colours;XAMS;HOLCO; 
Hunter Douglas NV;XAMS;HUNDP.PFD; 
Hydratec Industries NV;XAMS;HYDRA; 
ICT Group NV;XAMS;ICT; 
IEX Group NV;XAMS;IEX; 
IMCD NV;XAMS;IMCD; 
ING Groep NV;XAMS;INGA; 
Inpost SA;XAMS;INPST; 
Intertrust NV;XAMS;INTER; 
JDE Peets NV;XAMS;JDEP; 
Just Eat Takeaway.com NV;XAMS;TKWY; 
Kardan NV;XAMS;KARD; 
Kendrion NV;XAMS;KENDR; 
Koninklijke Ahold Delhaize NV;XAMS;AD; 
Koninklijke Bam Groep NV;XAMS;BAMNB; 
Koninklijke Brill NV;XAMS;BRILL; 
Koninklijke DSM NV;XAMS;DSM; 
Koninklijke KPN NV;XAMS;KPN; 
