c;market;v;isin
2020 Bulkers Ltd;XOSL;2020; 
5th Planet Games AS;XOSL;5PG; 
Aasen Sparebank;XOSL;AASB; 
ABG Sundal Collier Holding ASA;XOSL;ABG; 
ABL Group ASA;XOSL;ABL; 
Adevinta ASA;XOSL;ADE; 
ADS Maritime Holding PLC;XOSL;ADS; 
Aega ASA;XOSL;AEGA; 
AF Gruppen ASA;XOSL;AFG; 
Agilyx ASA;XOSL;AGLX; 
AINMT ASA;XOSL;AINMT; 
Airthings ASA;XOSL;AIRX; 
Akastor ASA;XOSL;AKAST; 
Aker ASA;XOSL;AKER; 
Aker BioMarine ASA;XOSL;AKBM; 
Aker BP ASA;XOSL;AKRBP; 
Aker Carbon Capture AS;XOSL;ACC; 
Aker Horizons ASA;XOSL;AKH; 
Aker Solutions ASA;XOSL;AKSO; 
Akobo Minerals AB;XOSL;AKOBO; 
AKVA Group ASA;XOSL;AKVA; 
Alternus Energy Group PLC;XOSL;ALT; 
AMSC ASA;XOSL;AMSC; 
Andfjord Salmon AS;XOSL;ANDF; 
Aqua Bio Technology ASA;XOSL;ABTEC; 
Archer Ltd;XOSL;ARCH; 
Arctic Bioscience AS;XOSL;ABS; 
Arctic Fish Holding AS;XOSL;AFISH; 
ArcticZymes Technologies ASA;XOSL;AZT; 
Arendals Fossekompani ASA;XOSL;AFK; 
Argeo AS;XOSL;ARGEO; 
Arribatec Group ASA;XOSL;ARR; 
Asetek A/S;XOSL;ASTK; 
Astrocast SA;XOSL;ASTRO; 
Atea ASA;XOSL;ATEA; 
Atlantic Sapphire ASA;XOSL;ASA; 
Aurora Eiendom AS;XOSL;AURA; 
Aurskog Sparebank;XOSL;AURG; 
Austevoll Seafood ASA;XOSL;AUSS; 
AutoStore Holdings Ltd;XOSL;AUTO; 
Avance Gas Holding Ltd;XOSL;AGAS; 
Awilco Drilling PLC;XOSL;AWDR; 
Awilco LNG ASA;XOSL;ALNG; 
Axactor ASA;XOSL;ACR; 
Ayfie Group AS;XOSL;AYFIE; 
B2Holding ASA;XOSL;B2H; 
Bakkafrost P/F;XOSL;BAKKA; 
Baltic Sea Properties AS;XOSL;BALT; 
Bank Norwegian ASA;XOSL;BANO; 
Barramundi Group Ltd;XOSL;BARRA; 
Belships ASA;XOSL;BELCO; 
Benchmark Holdings PLC;XOSL;BMK; 
Bergen Carbon Solutions AS;XOSL;BCS; 
BerGenBio ASA;XOSL;BGBIO; 
Bewi ASA;XOSL;BEWI; 
