c;market;v;cat;subcat
2cureX AB;XSTO;2CUREX;Healthcare;Biotechnology
4C Group AB;XSTO;4C;Technology;Software
A3 Allmanna IT- och Telekomaktiebolaget AB;XSTO;ATRE;Communication Services;Telecommunication Services
AAC Clyde Space AB;XSTO;AAC;Industrials;Aerospace & Defense
AAK AB;XSTO;AAK;Consumer Defensive;Consumer Packaged Goods
AB Sagax;XSTO;SAGA A;Real Estate;Real Estate
Abliva AB;XSTO;ABLI;Healthcare;Biotechnology
Absolent Air Care Group AB;XSTO;ABSO;Industrials;Industrial Products
AcadeMedia AB;XSTO;ACAD;Consumer Defensive;Education
Acarix AB;XSTO;ACARIX;Healthcare;Medical Devices & Instruments
Acast AB;XSTO;ACAST;Communication Services;Media - Diversified
Acconeer AB;XSTO;ACCON;Technology;Hardware
AcouSort AB;XSTO;ACOU;Healthcare;Biotechnology
ACQ Bure AB;XSTO;ACQ SPAC;Financial Services;Diversified Financial Services
Acrinova AB;XSTO;ACRI A;Real Estate;Real Estate
Acroud AB;XSTO;ACROUD;Consumer Cyclical;Travel & Leisure
Actic Group AB;XSTO;ATIC;Consumer Cyclical;Personal Services
Active Biotech AB;XSTO;ACTI;Healthcare;Biotechnology
Acuvi AB;XSTO;ACUVI;Technology;Hardware
Adapteo PLC;XSTO;ADAPT;Real Estate;Real Estate
AddLife AB;XSTO;ALIF B;Healthcare;Medical Devices & Instruments
Addnode Group AB;XSTO;ANOD B;Technology;Software
Addtech AB;XSTO;ADDT B;Industrials;Industrial Distribution
ADDvise Group AB;XSTO;ADDV A;Healthcare;Medical Devices & Instruments
Adtraction Group AB;XSTO;ADTR;Communication Services;Media - Diversified
Advanced SolTech Sweden AB;XSTO;ASAB;Technology;Semiconductors
Advenica AB;XSTO;ADVE;Technology;Software
Adventure Box Technology AB;XSTO;ADVBOX;Communication Services;Interactive Media
AegirBio AB;XSTO;AEGIR;Healthcare;Medical Devices & Instruments
Africa Energy Corp;XSTO;AEC;Energy;Oil & Gas
Africa Oil Corp;XSTO;AOI;Energy;Oil & Gas
Afry AB;XSTO;AFRY;Industrials;Construction
AGES Industri AB;XSTO;AGES B;Industrials;Industrial Products
Agilit Holding AB;XSTO;AGILIT;Healthcare;Healthcare Providers & Services
Agromino A/S;XSTO;AGRO;Consumer Defensive;Consumer Packaged Goods
Agtira AB;XSTO;AGTIRA B;Consumer Defensive;Consumer Packaged Goods
Aino Health AB;XSTO;AINO;Healthcare;Healthcare Providers & Services
Akelius Residential Property AB;XSTO;AKEL D;Real Estate;Real Estate
Aktiebolaget Fastator;XSTO;FASTAT;Real Estate;Real Estate
Alcadon Group AB;XSTO;ALCA;Technology;Hardware
Alelion Energy Systems AB;XSTO;ALELIO;Industrials;Industrial Products
Alfa Laval AB;XSTO;ALFA;Industrials;Industrial Products
Aligro Planet Acquisition Co AB;XSTO;APAC SPAC A;Financial Services;Diversified Financial Services
Alimak Group AB;XSTO;ALIG;Industrials;Industrial Products
Allarity Therapeutics AS;XSTO;ALLR;Healthcare;Biotechnology
Alleima AB;XSTO;ALLEI;Basic Materials;Steel
Allgon AB;XSTO;ALLG B;Technology;Hardware
Alligator Bioscience AB;XSTO;ATORX;Healthcare;Biotechnology
Alligo AB;XSTO;ALLIGO B;Industrials;Industrial Distribution
ALM Equity AB;XSTO;ALM;Real Estate;Real Estate
Alpcot Holding AB;XSTO;ALPCOT B;Technology;Software
AlzeCure Pharma AB;XSTO;ALZCUR;Healthcare;Drug Manufacturers
Alzinova AB;XSTO;ALZ;Healthcare;Biotechnology
Ambea AB;XSTO;AMBEA;Healthcare;Healthcare Providers & Services
Amniotics AB;XSTO;AMNI;Healthcare;Biotechnology
Annehem Fastigheter AB;XSTO;ANNE B;Real Estate;Real Estate
Annexin Pharmaceuticals AB;XSTO;ANNX;Healthcare;Biotechnology
Anoto Group AB;XSTO;ANOT;Technology;Software
AppSpotr AB;XSTO;APTR;Technology;Software
Aprendere Skolor AB;XSTO;APRNDR;Consumer Defensive;Education
AQ Group AB;XSTO;AQ;Industrials;Industrial Products
Arcane Crypto AB;XSTO;ARCANE;Financial Services;Capital Markets
Arcoma AB;XSTO;ARCOMA;Healthcare;Medical Devices & Instruments
Arctic Blue Beverages AB;XSTO;ARCTIC;Consumer Defensive;Beverages - Alcoholic
Arctic Minerals AB;XSTO;ARCT;Basic Materials;Metals & Mining
Arise AB;XSTO;ARISE;Utilities;Utilities - Independent Power Producers
Arjo AB;XSTO;ARJO B;Healthcare;Medical Distribution
Arla Plast AB;XSTO;ARPL;Basic Materials;Chemicals
Arlandastad Group AB;XSTO;AGROUP;Real Estate;Real Estate
AroCell AB;XSTO;AROC;Healthcare;Medical Diagnostics & Research
Aros Bostadsutveckling AB;XSTO;AROS;Real Estate;Real Estate
Artificial Solutions International AB;XSTO;ASAI;Technology;Software
Asarina Pharma AB;XSTO;ASAP;Healthcare;Biotechnology
Ascelia Pharma AB;XSTO;ACE;Healthcare;Biotechnology
Assa Abloy AB;XSTO;ASSA B;Industrials;Business Services
AstraZeneca PLC;XSTO;AZN;Healthcare;Drug Manufacturers
Athanase Innovation AB;XSTO;ATIN;Financial Services;Asset Management
Atlas Copco AB;XSTO;ATCO A;Industrials;Industrial Products
Atrium Ljungberg AB;XSTO;ATRLJ B;Real Estate;Real Estate
Attendo AB;XSTO;ATT;Healthcare;Healthcare Providers & Services
Atvexa AB;XSTO;ATVEXA B;Consumer Defensive;Education
Auriant Mining AB;XSTO;AUR;Basic Materials;Metals & Mining
Autoliv Inc;XSTO;ALIV SDB;Consumer Cyclical;Vehicles & Parts
Avanza Bank Holding AB;XSTO;AZA;Financial Services;Banks
Avensia AB;XSTO;AVEN;Technology;Software
Aventura Group AB;XSTO;AVENT B;Industrials;Business Services
AVTECH Sweden AB;XSTO;AVT B;Industrials;Aerospace & Defense
Awardit AB;XSTO;AWRD;Communication Services;Media - Diversified
Axfood AB;XSTO;AXFO;Consumer Defensive;Retail - Defensive
aXichem AB;XSTO;AXIC A;Basic Materials;Chemicals
Axolot Solutions Holding AB;XSTO;AXOLOT;Industrials;Waste Management
Ayima Group AB;XSTO;AYIMA B;Communication Services;Media - Diversified
Azelio AB;XSTO;AZELIO;Utilities;Utilities - Independent Power Producers
B3 Consulting Group AB;XSTO;B3;Technology;Software
Bactiguard Holding AB;XSTO;BACTI B;Healthcare;Medical Devices & Instruments
Balco Group AB;XSTO;BALCO;Industrials;Construction
Bambuser AB;XSTO;BUSER;Technology;Software
Bawat Water Technologies AB;XSTO;BAWAT;Industrials;Industrial Products
BE Group AB;XSTO;BEGR;Basic Materials;Steel
BeammWave AB;XSTO;BEAMMW B;Technology;Semiconductors
Beijer Alma AB;XSTO;BEIA B;Industrials;Industrial Products
Beijer Electronics Group AB;XSTO;BELE;Technology;Hardware
Beijer Ref AB;XSTO;BEIJ B;Industrials;Industrial Products
Bergman & Beving AB;XSTO;BERG B;Industrials;Conglomerates
Bergs Timber AB;XSTO;BRG B;Basic Materials;Forest Products
Besqab AB;XSTO;BESQ;Real Estate;Real Estate
Betsson AB;XSTO;BETS B;Consumer Cyclical;Travel & Leisure
Better Collective AS;XSTO;BETCO;Technology;Software
BHG Group AB;XSTO;BHG;Consumer Cyclical;Retail - Cyclical
BICO Group AB;XSTO;BICO;Healthcare;Medical Devices & Instruments
Bilia AB;XSTO;BILI A;Consumer Cyclical;Vehicles & Parts
Billerud AB;XSTO;BILL;Basic Materials;Forest Products
BIMobject AB;XSTO;BIM;Technology;Software
Binero Group AB;XSTO;BINERO;Technology;Software
Bio-Works Technologies AB;XSTO;BIOWKS;Healthcare;Biotechnology
BioArctic AB;XSTO;BIOA B;Healthcare;Biotechnology
Bioextrax AB;XSTO;BIOEX;Industrials;Waste Management
BioGaia AB;XSTO;BIOG B;Healthcare;Drug Manufacturers
BioInvent International AB;XSTO;BINV;Healthcare;Biotechnology
Biosergen AB;XSTO;BIOSGN;Healthcare;Biotechnology
Bioservo Technologies AB;XSTO;BIOS;Healthcare;Medical Devices & Instruments
Biotage AB;XSTO;BIOT;Healthcare;Medical Devices & Instruments
Biovica International AB;XSTO;BIOVIC B;Healthcare;Biotechnology
Bjorn Borg AB;XSTO;BORG;Consumer Cyclical;Manufacturing - Apparel & Accessories
Bokusgruppen AB;XSTO;BOKUS;Consumer Cyclical;Retail - Cyclical
Boliden AB;XSTO;BOL;Basic Materials;Metals & Mining
Bomill AB;XSTO;BOMILL;Industrials;Industrial Products
Bonasudden Holding AB;XSTO;BONAS;Real Estate;Real Estate
Bonava AB;XSTO;BONAV A;Consumer Cyclical;Homebuilding & Construction
Bonesupport Holding AB;XSTO;BONEX;Healthcare;Medical Devices & Instruments
Bong AB;XSTO;BONG;Consumer Cyclical;Packaging & Containers
Bonzun AB;XSTO;BONZUN;Healthcare;Healthcare Providers & Services
Boozt AB;XSTO;BOOZT;Consumer Cyclical;Retail - Cyclical
Botnia Exploration Holdings AB;XSTO;BOTX;Basic Materials;Metals & Mining
Boule Diagnostics AB;XSTO;BOUL;Healthcare;Medical Devices & Instruments
Bravida Holding AB;XSTO;BRAV;Industrials;Construction
Bredband2 i Skandinavien AB;XSTO;BRE2;Communication Services;Telecommunication Services
Bricknode Holding AB;XSTO;BRICK B;Technology;Software
Brighter AB;XSTO;BRIG;Healthcare;Medical Devices & Instruments
Brilliant Future AB;XSTO;BRILL;Industrials;Business Services
Brinova Fastigheter AB;XSTO;BRIN B;Real Estate;Real Estate
BTS Group AB;XSTO;BTS B;Industrials;Business Services
Bufab AB;XSTO;BUFAB;Industrials;Industrial Distribution
BuildData Group AB;XSTO;BUILD;Technology;Software
Bulten AB;XSTO;BULTEN;Consumer Cyclical;Vehicles & Parts
Bure Equity AB;XSTO;BURE;Financial Services;Asset Management
Byggfakta Group Nordic HoldCo AB;XSTO;BFG;Technology;Software
Byggmastare Anders J Ahlstrom Holding AB;XSTO;AJA B;Industrials;Conglomerates
Byggmax Group AB;XSTO;BMAX;Industrials;Construction
ByggPartner Gruppen AB;XSTO;BYGGP;Industrials;Construction
C-Rad AB;XSTO;CRAD B;Healthcare;Medical Devices & Instruments
CAG Group AB;XSTO;CAG;Technology;Software
Calliditas Therapeutics AB;XSTO;CALTX;Healthcare;Biotechnology
Camurus AB;XSTO;CAMX;Healthcare;Biotechnology
Candles Scandinavia B;XSTO;CANDLE B;Consumer Defensive;Consumer Packaged Goods
Cantargia AB;XSTO;CANTA;Healthcare;Biotechnology
Careium AB;XSTO;CARE;Industrials;Business Services
Cary Group Holding AB;XSTO;CARY;Consumer Cyclical;Vehicles & Parts
Case Group AB;XSTO;CASE;Financial Services;Asset Management
Castellum AB;XSTO;CAST;Real Estate;Real Estate
Catella AB;XSTO;CAT A;Financial Services;Asset Management
Catena AB;XSTO;CATE;Real Estate;Real Estate
Catena Media PLC;XSTO;CTM;Consumer Cyclical;Travel & Leisure
Cavotec SA;XSTO;CCC;Industrials;Industrial Products
Cdon AB;XSTO;CDON;Consumer Cyclical;Retail - Cyclical
Cedergrenska AB;XSTO;CEDER;Consumer Defensive;Education
Cell Impact;XSTO;CI;Industrials;Industrial Products
CellaVision AB;XSTO;CEVI;Healthcare;Medical Devices & Instruments
ChargePanel AB (publ);XSTO;CHARGE;Technology;Software
Checkin.com Group AB;XSTO;CHECK;Technology;Software
Chordate Medical Holding AB;XSTO;CMH;Healthcare;Medical Devices & Instruments
Christian Berner Tech Trade AB;XSTO;CBTT B;Industrials;Industrial Products
ChromoGenics AB;XSTO;CHRO;Industrials;Construction
Cibus Nordic Real Estate AB;XSTO;CIBUS;Real Estate;Real Estate
Cinis Fertilizer AB;XSTO;CINIS;Basic Materials;Agriculture
Cint Group AB;XSTO;CINT;Technology;Software
Circhem AB;XSTO;CIRCHE;Industrials;Industrial Products
Clas Ohlson AB;XSTO;CLAS B;Consumer Cyclical;Retail - Cyclical
Clavister Holding AB;XSTO;CLAV;Technology;Software
Clean Industry Solutions Holding Europe AB;XSTO;CISH;Utilities;Utilities - Independent Power Producers
Clean Motion AB;XSTO;CLEMO;Consumer Cyclical;Vehicles & Parts
Clemondo Group AB;XSTO;CLEM;Consumer Defensive;Consumer Packaged Goods
Climeon AB;XSTO;CLIME B;Utilities;Utilities - Independent Power Producers
Cline Scientific AB;XSTO;CLINE B;Healthcare;Biotechnology
Clinical Laserthermia Systems AB;XSTO;CLS B;Healthcare;Medical Devices & Instruments
Cloetta AB;XSTO;CLA B;Consumer Defensive;Consumer Packaged Goods
Coala-Life Group AB;XSTO;COALA;Healthcare;Medical Devices & Instruments
CodeMill AB;XSTO;CDMIL;Technology;Software
CoinShares International Ltd;XSTO;CS;Financial Services;Capital Markets
Collector Bank AB;XSTO;COLL;Financial Services;Credit Services
CombiGene AB;XSTO;COMBI;Healthcare;Biotechnology
CombinedX AB;XSTO;CX;Technology;Software
Compodium International AB;XSTO;COMPDM;Technology;Software
Concejo AB;XSTO;CNCJO B;Industrials;Business Services
Concentric AB;XSTO;COIC;Industrials;Industrial Products
Concordia Maritime AB;XSTO;CCOR B;Industrials;Transportation
Coor Service Management Holding AB;XSTO;COOR;Industrials;Business Services
Copperstone Resources AB;XSTO;COPP B;Basic Materials;Metals & Mining
Corem Property Group AB;XSTO;CORE A;Real Estate;Real Estate
Corline Biomedical AB;XSTO;CLBIO;Healthcare;Biotechnology
Cortus Energy AB;XSTO;CE;Utilities;Utilities - Independent Power Producers
Creades AB;XSTO;CRED A;Financial Services;Asset Management
Creaspac AB;XSTO;CPAC SPAC;Financial Services;Diversified Financial Services
Crunchfish AB;XSTO;CFISH;Technology;Software
CTEK AB;XSTO;CTEK;Technology;Hardware
CTT Systems AB;XSTO;CTT;Industrials;Aerospace & Defense
Cyber Security 1 AB;XSTO;CYB1;Technology;Software
Cyxone AB;XSTO;CYXO;Healthcare;Biotechnology
Dala Energi AB;XSTO;DE;Utilities;Utilities - Regulated
DDM Holding AG;XSTO;DDM;Financial Services;Asset Management
Dedicare AB;XSTO;DEDI;Industrials;Business Services
Delarka Holding AB;XSTO;DELARK;Real Estate;Real Estate
Desenio Group AB;XSTO;DSNO;Consumer Cyclical;Retail - Cyclical
DevPort AB;XSTO;DEVP B;Technology;Software
Devyser Diagnostics AB;XSTO;DVYSR;Healthcare;Medical Diagnostics & Research
Diadrom Holding AB;XSTO;DIAH;Technology;Software
Diagonal Bio AB;XSTO;DIABIO;Healthcare;Biotechnology
Diamyd Medical AB;XSTO;DMYD B;Healthcare;Biotechnology
Dignitana AB;XSTO;DIGN;Healthcare;Medical Devices & Instruments
Dios Fastigheter AB;XSTO;DIOS;Real Estate;Real Estate
DistIT AB;XSTO;DIST;Technology;Hardware
Divio Technologies AB;XSTO;DIVIO B;Technology;Software
Dlaboratory Sweden AB;XSTO;DLAB;Utilities;Utilities - Independent Power Producers
Dometic Group AB;XSTO;DOM;Consumer Cyclical;Travel & Leisure
Doro AB;XSTO;DORO;Technology;Hardware
Doxa AB;XSTO;DOXA;Healthcare;Medical Devices & Instruments
Drillcon AB;XSTO;DRIL;Industrials;Business Services
Duearity AB;XSTO;DEAR;Healthcare;Medical Devices & Instruments
Duni AB;XSTO;DUNI;Consumer Defensive;Consumer Packaged Goods
Duroc AB;XSTO;DURC B;Consumer Cyclical;Manufacturing - Apparel & Accessories
Dustin Group AB;XSTO;DUST;Technology;Software
Eastnine AB;XSTO;EAST;Real Estate;Real Estate
Ecoclime Group AB;XSTO;ECC B;Industrials;Construction
Edgeware AB;XSTO;EDGE;Technology;Software
eEducation Albert AB;XSTO;ALBERT;Technology;Software
Effnetplattformen AB;XSTO;EFFP;Financial Services;Asset Management
Effnetplattformen Holding AB;XSTO;EFFH;Financial Services;Asset Management
Egetis Therapeutics AB;XSTO;EGTX;Healthcare;Biotechnology
Ekobot AB;XSTO;EKOBOT;Industrials;Farm & Heavy Construction Machinery
Elanders AB;XSTO;ELAN B;Industrials;Business Services
Electrolux AB;XSTO;ELUX A;Consumer Cyclical;Furnishings, Fixtures & Appliances
Electrolux Professional AB;XSTO;EPRO B;Industrials;Industrial Products
Elekta AB;XSTO;EKTA B;Healthcare;Medical Devices & Instruments
Elicera Therapeutics AB;XSTO;ELIC;Healthcare;Biotechnology
Ellen AB;XSTO;ELN;Consumer Defensive;Consumer Packaged Goods
ELLWEE AB;XSTO;ELLWEE;Consumer Cyclical;Vehicles & Parts
Elon AB;XSTO;ELON;Consumer Cyclical;Retail - Cyclical
Elos Medtech AB;XSTO;ELOS B;Healthcare;Medical Devices & Instruments
Eltel AB;XSTO;ELTEL;Industrials;Construction
Embellence Group AB;XSTO;EMBELL;Consumer Cyclical;Furnishings, Fixtures & Appliances
Embracer Group AB;XSTO;EMBRAC B;Communication Services;Interactive Media
Empir Group AB;XSTO;EMPIR B;Technology;Software
Emplicure AB;XSTO;EMPLI;Healthcare;Drug Manufacturers
Enad Global 7 AB;XSTO;EG7;Communication Services;Interactive Media
Enea AB;XSTO;ENEA;Technology;Software
Enersize Oyj;XSTO;ENERS;Technology;Software
Engcon AB;XSTO;ENGCON B;Industrials;Farm & Heavy Construction Machinery
Eniro Group AB;XSTO;ENRO;Communication Services;Interactive Media
ENLABS AB;XSTO;NLAB;Consumer Cyclical;Travel & Leisure
Enorama Pharma AB;XSTO;ERMA;Healthcare;Drug Manufacturers
EnQuest PLC;XSTO;ENQ;Energy;Oil & Gas
Enzymatica AB;XSTO;ENZY;Healthcare;Drug Manufacturers
Eolus Vind AB;XSTO;EOLU B;Industrials;Construction
Epiroc AB;XSTO;EPI A;Industrials;Farm & Heavy Construction Machinery
Episurf Medical AB;XSTO;EPIS B;Healthcare;Medical Devices & Instruments
Epti AB;XSTO;EPTI;Technology;Software
EQT AB;XSTO;EQT;Financial Services;Asset Management
Essity AB;XSTO;ESSITY B;Consumer Defensive;Consumer Packaged Goods
Etrion Corp;XSTO;ETX;Utilities;Utilities - Independent Power Producers
Euroafrica Digital Ventures AB;XSTO;EURA;Technology;Software
Evolution AB;XSTO;EVO;Consumer Cyclical;Travel & Leisure
Ework Group AB;XSTO;EWRK;Industrials;Business Services
ExpreS2ion Biotech Holding AB;XSTO;EXPRS2;Healthcare;Biotechnology
Exsitec Holding AB;XSTO;EXS;Technology;Software
Fabege AB;XSTO;FABG;Real Estate;Real Estate
Fagerhult AB;XSTO;FAG;Industrials;Industrial Products
Fantasma Games AB;XSTO;FAGA;Communication Services;Interactive Media
Fasadgruppen Group AB;XSTO;FG;Industrials;Construction
Fastighets AB Balder;XSTO;BALD B;Real Estate;Real Estate
Fastighets AB Trianon;XSTO;TRIAN B;Real Estate;Real Estate
Fastighetsbolaget Emilshus AB;XSTO;EMIL B;Real Estate;Real Estate
FastPartner AB;XSTO;FPAR A;Real Estate;Real Estate
Fenix Outdoor International Ltd;XSTO;FOI B;Consumer Cyclical;Retail - Cyclical
Ferroamp AB;XSTO;FERRO;Industrials;Industrial Products
Ferronordic AB;XSTO;FNM;Industrials;Industrial Distribution
Filo Mining Corp;XSTO;FIL;Basic Materials;Metals & Mining
Fingerprint Cards AB;XSTO;FING B;Technology;Hardware
Firefly AB;XSTO;FIRE;Industrials;Business Services
First Venture Sweden AB;XSTO;FIRST B;Financial Services;Asset Management
Flat Capital AB;XSTO;FLAT B;Financial Services;Asset Management
Flexion Mobile PLC;XSTO;FLEXM;Communication Services;Interactive Media
FlexQube AB;XSTO;FLEXQ;Industrials;Industrial Products
Flowscape Technology AB;XSTO;FLOWS;Technology;Software
Fluicell AB;XSTO;FLUI;Healthcare;Biotechnology
FluoGuide A/S;XSTO;FLUO;Healthcare;Medical Devices & Instruments
FM Mattsson Mora Group AB;XSTO;FMM B;Industrials;Construction
Footway Group AB;XSTO;FOOT PREF;Consumer Cyclical;Retail - Cyclical
Formpipe Software AB;XSTO;FPIP;Technology;Software
Fortinova Fastigheter AB;XSTO;FNOVA B;Real Estate;Real Estate
Fortnox AB;XSTO;FNOX;Technology;Software
Fractal Gaming Group AB;XSTO;FRACTL;Technology;Hardware
Fragbite Group AB;XSTO;FRAG;Communication Services;Interactive Media
Fram Skandinavien AB;XSTO;FRAM B;Technology;Software
Freemelt Holding AB;XSTO;FREEM;Technology;Hardware
Freja eID Group AB;XSTO;FREJA;Technology;Software
FRISQ Holding AB;XSTO;FRISQ;Healthcare;Healthcare Providers & Services
FSport AB;XSTO;FSPORT;Communication Services;Interactive Media
FUUD AB;XSTO;FUUD;Consumer Defensive;Consumer Packaged Goods
G5 Entertainment AB;XSTO;G5EN;Communication Services;Interactive Media
Gabather AB;XSTO;GABA;Healthcare;Drug Manufacturers
Gaming Corps AB;XSTO;GCOR;Communication Services;Interactive Media
Gapwaves AB;XSTO;GAPW B;Technology;Hardware
GARO AB;XSTO;GARO;Industrials;Industrial Products
Gasporox AB;XSTO;GPX;Technology;Hardware
Generic Sweden AB;XSTO;GENI;Technology;Software
Genova Property Group AB;XSTO;GPG;Real Estate;Real Estate
