c;market;v;isin
1000Mercis SA;XPAR;ALMIL; 
2CRSI SA;XPAR;AL2SI; 
2MX Organic SA;XPAR;2MX; 
AB Science;XPAR;AB; 
ABC arbitrage SA;XPAR;ABCA; 
Abeo SA;XPAR;ABEO; 
Abionyx Pharma;XPAR;ABNX; 
Abivax SA;XPAR;ABVX; 
ABL Diagnostics;XPAR;ABLD; 
Acanthe Developpement SA;XPAR;ACAN; 
Accor SA;XPAR;AC; 
Acheter-Louer Fr SA;XPAR;ALALO; 
Acteos;XPAR;EOS; 
Actia group;XPAR;ALATI; 
Acticor Biotech SA;XPAR;ALACT; 
Ada Location;XPAR;ALADA; 
Adeunis RF SA;XPAR;ALARF; 
Adocia;XPAR;ADOC; 
Adomos SA;XPAR;ALADO; 
AdUX SA;XPAR;ADUX; 
Advicenne SA;XPAR;ALDVI; 
Advini SA;XPAR;ADVI; 
Aelis Farma SA;XPAR;AELIS; 
Aerkomm Inc;XPAR;AKOM; 
Aeroports de Paris SA;XPAR;ADP; 
Affluent Medical;XPAR;AFME; 
Afyren;XPAR;ALAFY; 
AGP Malaga Socimi SA;XPAR;MLAGP; 
Agripower France SA;XPAR;ALAGP; 
AgroGeneration SA;XPAR;ALAGR; 
agta record AG;XPAR;AGTA; 
Air France-KLM;XPAR;AF; 
Air Liquide SA;XPAR;AI; 
Air Marine SA;XPAR;MLAIM; 
Airbus SE;XPAR;AIR; 
Akwel;XPAR;AKW; 
Alan Allman Associates;XPAR;AAA; 
Alchimie;XPAR;ALCHI; 
ALD SA;XPAR;ALD; 
Aleph Finance Group PLC;XPAR;MLALE; 
Ales Groupe;XPAR;ALPHY; 
Algreen;XPAR;ALGRE; 
Alliance Developpement Capital SIIC;XPAR;ALDV; 
Alpha Mos;XPAR;ALNEO; 
Alstom SA;XPAR;ALO; 
ALTAMIR;XPAR;LTA; 
Altarea SCA;XPAR;ALTA; 
Altareit SA;XPAR;AREIT; 
Alten;XPAR;ATE; 
Altheora;XPAR;ALORA; 
Altur Investissement SCA;XPAR;ALTUR; 
AMA Corp PLC;XPAR;ALAMA; 
Amatheon Agri Holding NV;XPAR;MLAAH; 
Amoeba SA;XPAR;ALMIB; 
Amplitude Surgical;XPAR;AMPLI; 
Amundi SA;XPAR;AMUN; 
Anevia SA;XPAR;ALANV; 
Antalis;XPAR;ANTA; 
Antin Infrastructure Partners;XPAR;ANTIN; 
Aquila SA;XPAR;ALAQU; 
Aramis Group SA;XPAR;ARAMI; 
Archos;XPAR;ALJXR; 
Arcure SA;XPAR;ALCUR; 
Argan;XPAR;ARG; 
Arkema SA;XPAR;AKE; 
Artea SA;XPAR;ARTE; 
Artefact;XPAR;ALATF; 
Artmarket.com;XPAR;PRC; 
Assystem SA;XPAR;ASY; 
AST Groupe;XPAR;ALAST; 
Atari SA;XPAR;ALATA; 
Ateme SA;XPAR;ATEME; 
Atland;XPAR;ATLD; 
Atos SE;XPAR;ATO; 
Aubay;XPAR;AUB; 
Audacia SA;XPAR;ALAUD; 
Audience Labs SA;XPAR;MLAUD; 
Augros Cosmetics Packaging SA;XPAR;AUGR; 
Auplata Mining Group;XPAR;ALAMG; 
Aurea;XPAR;AURE; 
Aures Technologies SA;XPAR;AURS; 
Avenir Telecom;XPAR;AVT; 
AXA SA;XPAR;CS; 
Axway Software;XPAR;AXW; 
Azorean-Aquatic Technologies SA;XPAR;MLAAT; 
Baccarat SA;XPAR;BCRA; 
Baikowski SA;XPAR;ALBKK; 
Bains de Mer Monaco;XPAR;BAIN; 
Balyo SA;XPAR;BALYO; 
Barbara Bui SA;XPAR;BUI; 
BASSAC;XPAR;BASS; 
Bastide Le Confort Medical SA;XPAR;BLC; 
Batla Minerals SA;XPAR;MLBAT; 
BD Multimedia SA;XPAR;ALBDM; 
Beaconsmind AG;XPAR;MLBMD; 
Bebo Health SA;XPAR;MLBBO; 
Believe SA;XPAR;BLV; 
Beneteau SA;XPAR;BEN; 
Bernard Loiseau SA;XPAR;ALDBL; 
Bic;XPAR;BB; 
Bigben Interactive;XPAR;BIG; 
Bilendi SA;XPAR;ALBLD; 
BIO-UV Group;XPAR;ALTUV; 
Biocorp Production SA;XPAR;ALCOR; 
BioMerieux SA;XPAR;BIM; 
Biophytis SA;XPAR;ALBPS; 
Biosynex SA;XPAR;ALBIO; 
Bleecker;XPAR;BLEE; 
Blue Solutions SA;XPAR;BLUE; 
Bluelinea SA;XPAR;ALBLU; 
BNP Paribas;XPAR;BNP; 
Boa Concept SA;XPAR;ALBOA; 
Body One SA;XPAR;MLONE; 
Boiron SA;XPAR;BOI; 
Bollore SE;XPAR;BOL; 
Bonduelle SA;XPAR;BON; 
Bonyf NV;XPAR;MLBON; 
